it's suliban.	スリバン人です
do you believe that this strategian who has been betrayed so many times in the past	幾度となく 煮え湯を 飲まされてきた この奇策士が
once per turn i can negate the damage from an opponent's monster's effect or a carddestroying effect...	1ターンに一度だけ 相手モンスターの効果によるダメージ
are you okay?	試験は大丈夫です... と思います
listen to saika's words of love	罪歌の愛の言葉を...
is this your first time proposing to a woman?	プロポーズするのは初めて?
heading to a desperate phase	もう業界じゃ ただの一発屋扱いだよ!
with just one date and 47 love letters...	(澪の足音)
the summer evening sky	請務必幫忙 夏目大人
that is the last thing i want.	それは最後の手段だ
mm, that would be pretty stupid, that's for sure.	うむ それはかなり愚かだな 確実に
from tiny, little animals like a nudibrank	カワハギに至るまで
we're still fighting, still losing loved ones, still living under fear, still searching for...hope.	戦い 愛する者を 失い続けてる 怯えながら暮らし 希望を探し求めてる
the mountain is crumbling!	まずい! 山が崩れる!
mr. lee!	mr. リー!
and it's safe?	安全な場所?
the startling answer to this question, ok, from these experiments	結果は予想に反して驚くべきもので
millions of lives every year	何百万人もの命を救っています
you ever... you ever heard of plato's allegory of the cave?	"プラトンの洞窟"を?
now, look, it's very simple to operate.	いいか 操作は簡単だ
so am i. seth. i thought we were happy together.	ぼくもだ。 ぼくたちは幸せだと思ってた。
the second assumption which informs the american view of choice	米国人が持つ―
no, i called her because you wouldn't tell me what was going on, so i decided to find out for myself.	交渉が流れても 文句言えません
no, no, no, no!	いや、いや、いや、いや!
i'm gonna go home soon.	もうすぐ、国に帰る
let me guess. it doesn't match erik haas' dna.	エリックじゃないな
promise.	前途有望 かな
i've been thinking that when i go back to work... we should have a domestic.	仕事に戻る時には 家政婦を... と 考えてるの
ththirty seconds.	30秒
in order to do that, i will become a fulltime employee, whatever it takes.	そのために 何が何でも 正社員になります。
seconds please. you sure eat a lot.	お代わり。 おい よく食うな。
you inspire them.	やる気にさせて
dre, you know i don't play, if somebody hit my baby, i would tear...	ふざけないで 私の子に誰かが手を出したんなら...
oh, stop it, will you?	やめてくれよ?
there's something wrong with the starter, so i hid it here.	スターターの調子が よくないんだ
he's gained a lot more confidence in himself since becoming a social insurance worker.	社労士になって あいつ 一段と自信家になりましたね。
very well.	"わかりました"
and i think there's been an increased interest now in	心エコー検査やその使用はとりわけ
to come in bringing a child and everything, who are you with?	思わんかったのう。 ホンマじゃ。
put put the gun put the gun down.	銃を・・・銃を置いて
i truly don't.	本当に知らない
he just came to.	彼はちょうど意識を取り戻した
and there's one megatrend which affects all of us.	私たちに全員に影響する メガトレンドが訪れます
let's go.	終わりなら クッスを食べに行こう
this separation anymore, should we?	これ以上 続ける必要は ないんじゃないでしょうか。
that methylamine that we stole, that we nearly killed ourselves trying to steal?	私たちが盗んだメチルアミンは、 自殺行為すれすれで盗んで
are now linked to the skyrocketing incidents	先進工業国でよく見られる
you really think a 12yearold boy could row this far in a miniature canoe?	ここまで来れると思うかね? 多分無理でしょう できると思いますよ ウォルト先生
i'll get a job and buy it back!	いづがバイトして買い戻すがら!
has raised 125 million dollars?	als協会には1億2千5百万ドルが
yeah, jumping around.	そうだ 飛び跳ねてた
we have rid it of its imperfection.	不完全なるもの全て消し去った
and that there are people who are now interested	人々はこの いわば私たちがおこした火に惹かれ
there are no coordinates.	座標がないって。
he'd been looking all over.	あちこち 捜しており
two great texts	まさにふたつの偉大な文言
something he picked up in the forest, i reckon.	森の中で何かもらったんだろ。
we are the watchers on the wall.	俺たちは壁の番人だ...
the mistress of the inn whistles.	うん 口笛
the enemy is anarchy.	無秩序が敵なんだ
what for?	目的は?
you got something to say?	文句なら言わせねえぞ
